model,kernel,C,gamma,requested_folds,folds,mean_validation_accuracy,std_validation_accuracy,fold_scores
svm_linear,linear,0.1,scale,3,3,0.9310474984013282,0.006126853827897384,"[0.9396681749622926, 0.9274924471299094, 0.9259818731117825]"
svm_linear,linear,1.0,scale,3,3,0.9310482578653895,0.005601113306991073,"[0.9381598793363499, 0.9244712990936556, 0.9305135951661632]"
svm_linear,linear,10.0,scale,3,3,0.9305470115848647,0.004296372437705583,"[0.9336349924585219, 0.9244712990936556, 0.9335347432024169]"
svm_linear,linear,100.0,scale,3,3,0.9310497767935123,0.0038030655594160595,"[0.9351432880844646, 0.9259818731117825, 0.93202416918429]"
svm_rbf,rbf,0.1,scale,3,3,0.9617503520115925,0.0028613413004010746,"[0.9638009049773756, 0.9577039274924471, 0.9637462235649547]"
svm_rbf,rbf,0.1,auto,3,3,0.9617503520115925,0.0028613413004010746,"[0.9638009049773756, 0.9577039274924471, 0.9637462235649547]"
svm_rbf,rbf,1.0,scale,3,3,0.9884257677042466,0.002843544807425747,"[0.9864253393665159, 0.986404833836858, 0.9924471299093656]"
svm_rbf,rbf,1.0,auto,3,3,0.9884257677042466,0.002843544807425747,"[0.9864253393665159, 0.986404833836858, 0.9924471299093656]"
svm_rbf,rbf,10.0,scale,3,3,0.9939622607118608,0.0021298299971488324,"[0.9909502262443439, 0.9954682779456193, 0.9954682779456193]"
svm_rbf,rbf,10.0,auto,3,3,0.9939622607118608,0.0021298299971488324,"[0.9909502262443439, 0.9954682779456193, 0.9954682779456193]"
svm_rbf,rbf,100.0,scale,3,3,0.9934587360391519,0.0018779287364976813,"[0.9909502262443439, 0.9939577039274925, 0.9954682779456193]"
svm_rbf,rbf,100.0,auto,3,3,0.9934587360391519,0.0018779287364976813,"[0.9909502262443439, 0.9939577039274925, 0.9954682779456193]"
svm_linear,linear,0.1,scale,5,5,0.9380896927964761,0.012219615263509093,"[0.9346733668341709, 0.957286432160804, 0.9420654911838791, 0.9370277078085643, 0.9193954659949622]"
svm_linear,linear,1.0,scale,5,5,0.9396010278090706,0.007838630820505907,"[0.9371859296482412, 0.9547738693467337, 0.9370277078085643, 0.9370277078085643, 0.9319899244332494]"
svm_linear,linear,10.0,scale,5,5,0.937589711783097,0.00935517507068056,"[0.9296482412060302, 0.9547738693467337, 0.9395465994962217, 0.9345088161209067, 0.929471032745592]"
svm_linear,linear,100.0,scale,5,5,0.937589711783097,0.00935517507068056,"[0.9296482412060302, 0.9547738693467337, 0.9395465994962217, 0.9345088161209067, 0.929471032745592]"
svm_rbf,rbf,0.1,scale,5,5,0.9682910775540169,0.0072310336269788104,"[0.9623115577889447, 0.9798994974874372, 0.9722921914357683, 0.9596977329974811, 0.9672544080604534]"
svm_rbf,rbf,0.1,auto,5,5,0.9682910775540169,0.0072310336269788104,"[0.9623115577889447, 0.9798994974874372, 0.9722921914357683, 0.9596977329974811, 0.9672544080604534]"
svm_rbf,rbf,1.0,scale,5,5,0.9869106236472032,0.006645021189103289,"[0.9849246231155779, 0.9974874371859297, 0.9899244332493703, 0.9773299748110831, 0.9848866498740554]"
svm_rbf,rbf,1.0,auto,5,5,0.9869106236472032,0.006645021189103289,"[0.9849246231155779, 0.9974874371859297, 0.9899244332493703, 0.9773299748110831, 0.9848866498740554]"
svm_rbf,rbf,10.0,scale,5,5,0.9939597230484918,0.004087738268227908,"[0.9899497487437185, 1.0, 0.9974811083123426, 0.9899244332493703, 0.9924433249370277]"
svm_rbf,rbf,10.0,auto,5,5,0.9939597230484918,0.004087738268227908,"[0.9899497487437185, 1.0, 0.9974811083123426, 0.9899244332493703, 0.9924433249370277]"
svm_rbf,rbf,100.0,scale,5,5,0.9939609888232092,0.00438240821348387,"[0.9874371859296482, 1.0, 0.9974811083123426, 0.9924433249370277, 0.9924433249370277]"
svm_rbf,rbf,100.0,auto,5,5,0.9939609888232092,0.00438240821348387,"[0.9874371859296482, 1.0, 0.9974811083123426, 0.9924433249370277, 0.9924433249370277]"
