requested_folds,folds,k,mean_validation_accuracy,std_validation_accuracy,fold_scores
3,3,1,0.9698064987221614,0.01769317266102993,"[0.9457831325301205, 0.9878787878787879, 0.9757575757575757]"
3,3,3,0.9798831690397956,0.01578808824523265,"[0.9578313253012049, 0.9878787878787879, 0.9939393939393939]"
3,3,5,0.9798831690397956,0.01578808824523265,"[0.9578313253012049, 0.9878787878787879, 0.9939393939393939]"
3,3,7,0.9778629670195936,0.015004020533894056,"[0.9578313253012049, 0.9818181818181818, 0.9939393939393939]"
3,3,9,0.9758427649993915,0.014741180371106282,"[0.9578313253012049, 0.9757575757575757, 0.9939393939393939]"
3,3,11,0.9698064987221614,0.016987085141319764,"[0.9457831325301205, 0.9818181818181818, 0.9818181818181818]"
5,5,1,0.9899595959595959,0.010954562918241952,"[0.97, 0.98989898989899, 0.98989898989899, 1.0, 1.0]"
5,5,3,0.9899191919191919,0.0063885674850285715,"[0.99, 1.0, 0.98989898989899, 0.98989898989899, 0.9797979797979798]"
5,5,5,0.987919191919192,0.0075160203690205684,"[0.98, 1.0, 0.98989898989899, 0.98989898989899, 0.9797979797979798]"
5,5,7,0.9858787878787879,0.01030904953900768,"[0.99, 1.0, 0.98989898989899, 0.9797979797979798, 0.9696969696969697]"
5,5,9,0.9858989898989898,0.010277568061792095,"[0.98, 1.0, 0.98989898989899, 0.9696969696969697, 0.98989898989899]"
5,5,11,0.9778383838383838,0.014812861824133645,"[0.97, 1.0, 0.98989898989899, 0.9595959595959596, 0.9696969696969697]"
